id_transaccion,id_pedido,id_cliente,fecha,hora,sucursal,producto,categoria,precio_unitario,unidades,medio_pago,clima,promocion_activa,promocion_tipo,calificacion_satisfaccion
1,2033,697,2026-03-02,6,Cartago,Limonada,bebida_fria,1284,1,tarjeta,lluvioso,0,,
2,2033,697,2026-03-02,6,Cartago,Galleta,postre,841,1,sinpe_movil,lluvioso,0,,
3,2033,697,2026-03-02,6,Cartago,Frappe,bebida_fria,1785,1,sinpe_movil,lluvioso,0,,
4,3564,1222,2026-03-02,6,Cartago,Limonada,bebida_fria,1189,3,tarjeta,lluvioso,0,,4.0
5,3564,1222,2026-03-02,6,Cartago,Cappuccino,bebida_caliente,1605,1,sinpe_movil,lluvioso,0,,4.0
6,3564,1222,2026-03-02,6,Cartago,Brownie,postre,1651,1,sinpe_movil,lluvioso,0,,4.0
7,3027,1028,2026-03-02,7,Cartago,Chocolate caliente,bebida_caliente,1530,1,efectivo,lluvioso,0,,3.0
8,3785,1311,2026-03-02,7,Cartago,Chocolate caliente,bebida_caliente,1592,1,sinpe_movil,lluvioso,0,,4.0
9,6875,2326,2026-03-02,7,Cartago,Te helado,bebida_fria,1322,1,tarjeta,lluvioso,0,,
10,6875,2326,2026-03-02,7,Cartago,Frappe,bebida_fria,1803,1,efectivo,lluvioso,0,,
11,7324,2482,2026-03-02,7,Cartago,Latte,bebida_caliente,1652,3,sinpe_movil,lluvioso,0,,
12,7324,2482,2026-03-02,7,Cartago,Croissant,postre,1403,1,efectivo,lluvioso,0,,
13,7681,2586,2026-03-02,7,Cartago,Limonada,bebida_fria,1241,1,tarjeta,lluvioso,0,,
14,557,215,2026-03-02,7,Escazu,Frappe,bebida_fria,2140,1,efectivo,lluvioso,0,,3.0
15,557,215,2026-03-02,7,Escazu,Chocolate caliente,bebida_caliente,1834,1,sinpe_movil,lluvioso,0,,3.0
16,697,267,2026-03-02,7,Escazu,Limonada,bebida_fria,1388,1,efectivo,lluvioso,0,,
17,1819,639,2026-03-02,7,San Pedro,Latte,bebida_caliente,1729,1,sinpe_movil,soleado,0,,5.0
18,1704,599,2026-03-02,8,Cartago,Cafe americano,bebida_caliente,1062,1,tarjeta,lluvioso,0,,
19,2104,719,2026-03-02,8,Cartago,Cafe americano,bebida_caliente,1136,3,efectivo,lluvioso,0,,
20,2104,719,2026-03-02,8,Cartago,Te helado,bebida_fria,1258,1,tarjeta,lluvioso,0,,
21,7196,2441,2026-03-02,8,Cartago,Cafe americano,bebida_caliente,1106,1,sinpe_movil,lluvioso,0,,
22,632,244,2026-03-02,8,Escazu,Frappe,bebida_fria,2109,3,tarjeta,lluvioso,0,,4.0
23,632,244,2026-03-02,8,Escazu,Cheesecake,postre,2437,1,sinpe_movil,lluvioso,0,,4.0
24,1979,684,2026-03-02,8,Escazu,Latte,bebida_caliente,1934,1,tarjeta,lluvioso,0,,4.0
25,265,101,2026-03-02,8,Heredia,Frappe,bebida_fria,1805,2,sinpe_movil,nublado,1,combo_postre,
26,265,101,2026-03-02,8,Heredia,Galleta,postre,879,1,tarjeta,nublado,1,combo_postre,
27,1290,468,2026-03-02,8,Heredia,Frappe,bebida_fria,1885,3,sinpe_movil,nublado,1,combo_postre,
28,1290,468,2026-03-02,8,Heredia,Croissant,postre,1483,2,tarjeta,nublado,1,combo_postre,
29,2559,869,2026-03-02,8,Heredia,Cappuccino,bebida_caliente,1515,3,sinpe_movil,nublado,1,combo_postre,
30,2559,869,2026-03-02,8,Heredia,Tostada de aguacate,snack,2192,1,sinpe_movil,nublado,1,combo_postre,
31,5748,1961,2026-03-02,8,Heredia,Limonada,bebida_fria,1300,1,sinpe_movil,nublado,1,combo_postre,
32,6308,2151,2026-03-02,8,Heredia,Limonada,bebida_fria,1292,2,tarjeta,nublado,1,combo_postre,3.0
33,6308,2151,2026-03-02,8,Heredia,Cappuccino,bebida_caliente,1517,2,sinpe_movil,nublado,1,combo_postre,3.0
34,6308,2151,2026-03-02,8,Heredia,Sandwich,snack,2350,4,sinpe_movil,nublado,1,combo_postre,3.0
35,6324,2158,2026-03-02,8,Heredia,Frappe,bebida_fria,1893,2,efectivo,nublado,1,combo_postre,4.0
36,6324,2158,2026-03-02,8,Heredia,Sandwich,snack,2412,1,efectivo,nublado,1,combo_postre,4.0
37,6324,2158,2026-03-02,8,Heredia,Brownie,postre,1639,1,sinpe_movil,nublado,1,combo_postre,4.0
38,802,302,2026-03-02,8,San Pedro,Te helado,bebida_fria,1390,3,sinpe_movil,soleado,0,,4.0
39,6595,2237,2026-03-02,8,San Pedro,Cafe americano,bebida_caliente,1231,1,sinpe_movil,soleado,0,,3.0
40,6595,2237,2026-03-02,8,San Pedro,Te helado,bebida_fria,1413,3,tarjeta,soleado,0,,3.0
41,257,97,2026-03-02,9,Cartago,Latte,bebida_caliente,1616,1,tarjeta,lluvioso,0,,
42,1665,589,2026-03-02,9,Cartago,Te helado,bebida_fria,1340,1,tarjeta,lluvioso,0,,3.0
43,6612,2240,2026-03-02,9,Cartago,Limonada,bebida_fria,1191,1,tarjeta,lluvioso,0,,
44,2633,895,2026-03-02,9,Escazu,Cafe americano,bebida_caliente,1308,1,tarjeta,lluvioso,0,,
45,5104,1751,2026-03-02,9,Escazu,Cafe americano,bebida_caliente,1312,1,tarjeta,lluvioso,0,,5.0
46,227,85,2026-03-02,9,Heredia,Limonada,bebida_fria,1211,1,tarjeta,nublado,1,combo_postre,
47,599,229,2026-03-02,9,Heredia,Te helado,bebida_fria,1362,2,efectivo,nublado,1,combo_postre,
48,629,243,2026-03-02,9,Heredia,Limonada,bebida_fria,1278,1,tarjeta,nublado,1,combo_postre,
49,629,243,2026-03-02,9,Heredia,Cappuccino,bebida_caliente,1539,2,tarjeta,nublado,1,combo_postre,
50,629,243,2026-03-02,9,Heredia,Galleta,postre,906,2,efectivo,nublado,1,combo_postre,
